DATE,IPG2211A2N
1992-01-01,84.2776
1992-02-01,79.2162
1992-03-01,73.6222
1992-04-01,68.7932
1992-05-01,66.3713
1992-06-01,70.3526
1992-07-01,76.5649
1992-08-01,75.6319
1992-09-01,71.4838
1992-10-01,68.2018
1992-11-01,72.6160
1992-12-01,83.5149
1993-01-01,86.9103
1993-02-01,83.5249
1993-03-01,78.4978
1993-04-01,70.2081
1993-05-01,66.8964
1993-06-01,73.4364
1993-07-01,81.1063
1993-08-01,81.0610
1993-09-01,73.7141
1993-10-01,68.8317
1993-11-01,73.5127
1993-12-01,83.2048
1994-01-01,92.9911
1994-02-01,86.0992
1994-03-01,78.2876
1994-04-01,70.1181
1994-05-01,68.5535
1994-06-01,77.0304
1994-07-01,82.2806
1994-08-01,80.9048
1994-09-01,74.7837
1994-10-01,70.4121
1994-11-01,74.3476
1994-12-01,83.8059
1995-01-01,91.3554
1995-02-01,86.3571
1995-03-01,80.3024
1995-04-01,72.9393
1995-05-01,72.4021
1995-06-01,77.3766
1995-07-01,84.9538
1995-08-01,88.4644
1995-09-01,77.5676
1995-10-01,72.8306
1995-11-01,78.6965
1995-12-01,89.7321
1996-01-01,97.7855
1996-02-01,91.7770
1996-03-01,85.9044
1996-04-01,76.3139
1996-05-01,75.7842
1996-06-01,80.9677
1996-07-01,84.9436
1996-08-01,85.5267
1996-09-01,78.2555
1996-10-01,73.7917
1996-11-01,80.0852
1996-12-01,89.3969
1997-01-01,97.2727
1997-02-01,88.7030
1997-03-01,82.0230
1997-04-01,75.2380
1997-05-01,72.9708
1997-06-01,78.8182
1997-07-01,87.3912
1997-08-01,86.7331
1997-09-01,80.9522
1997-10-01,76.5652
1997-11-01,81.0508
1997-12-01,90.9822
1998-01-01,93.6496
1998-02-01,86.7676
1998-03-01,85.5153
1998-04-01,75.8325
1998-05-01,77.0958
1998-06-01,85.4167
1998-07-01,92.7016
1998-08-01,92.3939
1998-09-01,86.4797
1998-10-01,79.1293
1998-11-01,80.4538
1998-12-01,90.5811
1999-01-01,100.9159
1999-02-01,90.1004
1999-03-01,89.6636
1999-04-01,79.5431
1999-05-01,78.4474
1999-06-01,86.8037
1999-07-01,96.3147
1999-08-01,95.2565
1999-09-01,86.1813
1999-10-01,79.6564
1999-11-01,81.2076
1999-12-01,93.3584
2000-01-01,100.9655
2000-02-01,93.1095
2000-03-01,87.0262
2000-04-01,80.4459
2000-05-01,83.4576
2000-06-01,89.9646
2000-07-01,94.8622
2000-08-01,98.1841
2000-09-01,89.5925
2000-10-01,82.1321
2000-11-01,86.9273
2000-12-01,101.1556
2001-01-01,107.7077
2001-02-01,95.9400
2001-03-01,91.6660
2001-04-01,81.8910
2001-05-01,81.5458
2001-06-01,89.3101
2001-07-01,94.8889
2001-08-01,98.3217
2001-09-01,87.1910
2001-10-01,81.6619
2001-11-01,81.9037
2001-12-01,91.8858
2002-01-01,101.7175
2002-02-01,94.0329
2002-03-01,92.1127
2002-04-01,84.7659
2002-05-01,84.2267
2002-06-01,92.0888
2002-07-01,101.1591
2002-08-01,100.3893
2002-09-01,92.1628
2002-10-01,85.8274
2002-11-01,87.4777
2002-12-01,99.5340
2003-01-01,108.7791
2003-02-01,102.5276
2003-03-01,93.3849
2003-04-01,84.0376
2003-05-01,84.4607
2003-06-01,90.0042
2003-07-01,100.9924
